Friday,28,November,2025,17:35:07:00009-VCID:9DA46055AA8F3D19E2-7F06,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
855 412 107 AD-7F06,,MARELLI 1AVP MPSF  DG23,

,Group A:,'005,,,,Group B:,'006,,,,Group C:,'007
,,RPM,Duty Cycle,Duty Cycle,Bin. Bits,,(no units),(no units),(no units),Bin. Bits,,(no units),(no units),(no units),Bin. Bits
,18.26,960,0.0,0.0,        ,18.48,1.0,0.0,0.0,        ,18.04,1.0,0.0,0.0,        
,18.96,928,0.0,0.0,        ,19.18,1.0,0.0,0.0,        ,18.72,1.0,0.0,0.0,        
,19.64,960,0.0,0.0,        ,19.88,1.0,0.0,0.0,        ,19.40,1.0,0.0,0.0,        
,20.34,928,0.0,0.0,        ,20.58,1.0,0.0,0.0,        ,20.11,1.0,0.0,0.0,        
,21.04,960,0.0,0.0,        ,21.26,1.0,0.0,0.0,        ,20.82,1.0,0.0,0.0,        
,21.73,928,0.0,0.0,        ,21.97,1.0,0.0,0.0,        ,21.50,1.0,0.0,0.0,        
,22.42,960,0.0,0.0,        ,22.65,1.0,0.0,0.0,        ,22.20,1.0,0.0,0.0,        
,23.13,928,0.0,0.0,        ,23.35,1.0,0.0,0.0,        ,22.90,1.0,0.0,0.0,        
,23.83,960,0.0,0.0,        ,24.05,1.0,0.0,0.0,        ,23.60,1.0,0.0,0.0,        
,24.52,896,0.0,0.0,        ,24.76,1.0,0.0,0.0,        ,24.28,1.0,0.0,0.0,        
,25.20,928,0.0,0.0,        ,25.44,1.0,0.0,0.0,        ,24.98,1.0,0.0,0.0,        
,25.90,896,0.0,0.0,        ,26.14,1.0,0.0,0.0,        ,25.68,1.0,0.0,0.0,        
,26.62,960,0.0,0.0,        ,26.84,1.0,0.0,0.0,        ,26.38,1.0,0.0,0.0,        
,27.30,896,0.0,0.0,        ,27.54,1.0,0.0,0.0,        ,27.06,1.0,0.0,0.0,        
,27.98,928,0.0,0.0,        ,28.22,1.0,0.0,0.0,        ,27.76,1.0,0.0,0.0,        
,28.70,896,0.0,0.0,        ,28.92,1.0,0.0,0.0,        ,28.46,1.0,0.0,0.0,        
,29.39,928,0.0,0.0,        ,29.63,1.0,0.0,0.0,        ,29.15,1.0,0.0,0.0,        
,30.08,960,0.0,0.0,        ,30.31,1.0,0.0,0.0,        ,29.85,1.0,0.0,0.0,        
,30.78,928,0.0,0.0,        ,31.01,1.0,0.0,0.0,        ,30.55,1.0,0.0,0.0,        
,31.49,896,0.0,0.0,        ,31.72,1.0,0.0,0.0,        ,31.26,1.0,0.0,0.0,        
,32.19,928,0.0,0.0,        ,32.43,1.0,0.0,0.0,        ,31.95,1.0,0.0,0.0,        
,32.90,896,0.0,0.0,        ,33.14,1.0,0.0,0.0,        ,32.67,1.0,0.0,0.0,        
,33.60,960,0.0,0.0,        ,33.83,1.0,0.0,0.0,        ,33.38,1.0,0.0,0.0,        
,34.30,928,0.0,0.0,        ,34.53,1.0,0.0,0.0,        ,34.07,1.0,0.0,0.0,        
,35.00,928,0.0,0.0,        ,35.24,1.0,0.0,0.0,        ,34.76,1.0,0.0,0.0,        
,35.69,896,0.0,0.0,        ,35.92,1.0,0.0,0.0,        ,35.46,1.0,0.0,0.0,        
,36.40,928,0.0,0.0,        ,36.62,1.0,0.0,0.0,        ,36.16,1.0,0.0,0.0,        
,37.10,896,0.0,0.0,        ,37.32,1.0,0.0,0.0,        ,36.86,1.0,0.0,0.0,        
,37.78,928,0.0,0.0,        ,38.02,1.0,0.0,0.0,        ,37.54,1.0,0.0,0.0,        
,38.48,896,0.0,0.0,        ,38.70,1.0,0.0,0.0,        ,38.26,1.0,0.0,0.0,        
,39.18,928,0.0,0.0,        ,39.41,1.0,0.0,0.0,        ,38.94,1.0,0.0,0.0,        
,39.87,896,0.0,0.0,        ,40.11,1.0,0.0,0.0,        ,39.64,1.0,0.0,0.0,        
,40.57,928,0.0,0.0,        ,40.81,1.0,0.0,0.0,        ,40.35,1.0,0.0,0.0,        
,41.27,896,0.0,0.0,        ,41.50,1.0,0.0,0.0,        ,41.05,1.0,0.0,0.0,        
,41.98,928,0.0,0.0,        ,42.20,1.0,0.0,0.0,        ,41.74,1.0,0.0,0.0,        
,42.66,960,0.0,0.0,        ,42.90,1.0,0.0,0.0,        ,42.42,1.0,0.0,0.0,        
,43.36,928,0.0,0.0,        ,43.59,1.0,0.0,0.0,        ,43.13,1.0,0.0,0.0,        
,44.07,896,0.0,0.0,        ,44.29,1.0,0.0,0.0,        ,43.83,1.0,0.0,0.0,        
,44.77,928,0.0,0.0,        ,44.99,1.0,0.0,0.0,        ,44.53,1.0,0.0,0.0,        
,45.46,960,0.0,0.0,        ,45.69,1.0,0.0,0.0,        ,45.21,1.0,0.0,0.0,        
,46.15,928,0.0,0.0,        ,46.39,1.0,0.0,0.0,        ,45.93,1.0,0.0,0.0,        
,46.87,896,0.0,0.0,        ,47.09,1.0,0.0,0.0,        ,46.63,1.0,0.0,0.0,        
