Friday,28,November,2025,17:33:26:00009-VCID:9DA46055AA8F3D19E2-7F06,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
855 412 107 AD-7F06,,MARELLI 1AVP MPSF  DG23,

,Group A:,'004,,,,Group B:,'005,,,,Group C:,'006
,,RPM,(no units),Ign. Timing,Bin. Bits,,RPM,Duty Cycle,Duty Cycle,Bin. Bits,,(no units),(no units),(no units),Bin. Bits
,37.93,928,255.0,-12.0,01000000,38.15,896,0.0,63.4,        ,37.71,1.0,0.0,0.0,        
,38.61,960,255.0,-10.0,01000000,38.85,960,0.0,65.8,        ,38.38,1.0,0.0,0.0,        
,39.29,896,255.0,-18.5,01000000,39.54,896,0.0,55.5,        ,39.07,1.0,0.0,0.0,        
,40.01,960,255.0,-11.0,01000000,40.23,928,0.0,64.6,        ,39.77,1.0,0.0,0.0,        
,40.71,928,255.0,-16.0,01000000,40.94,896,0.0,58.5,        ,40.47,1.0,0.0,0.0,        
,41.39,928,255.0,-10.0,01000000,41.63,928,0.0,65.8,        ,41.17,1.0,0.0,0.0,        
,42.09,896,255.0,-18.5,01000000,42.33,896,0.0,55.5,        ,41.87,1.0,0.0,0.0,        
,42.80,960,255.0,-11.0,01000000,43.04,928,0.0,64.6,        ,42.57,1.0,0.0,0.0,        
,43.48,896,255.0,-18.5,01000000,43.71,960,0.0,55.5,        ,43.26,1.0,0.0,0.0,        
,44.18,928,255.0,-11.0,01000000,44.40,928,0.0,64.6,        ,43.94,1.0,0.0,0.0,        
,44.86,896,255.0,-18.5,01000000,45.10,960,0.0,55.5,        ,44.63,1.0,0.0,0.0,        
,45.55,928,255.0,-11.0,01000000,45.79,928,0.0,64.6,        ,45.32,1.0,0.0,0.0,        
,46.26,896,255.0,-18.5,01000000,46.49,960,0.0,55.5,        ,46.03,1.0,0.0,0.0,        
,46.96,928,255.0,-13.5,01000000,47.18,928,0.0,61.5,        ,46.72,1.0,0.0,0.0,        
,47.65,960,255.0,-11.0,01000000,47.88,960,0.0,64.6,        ,47.41,1.0,0.0,0.0,        
,48.33,896,255.0,-18.0,01000000,48.56,896,0.0,56.1,        ,48.10,1.0,0.0,0.0,        
,49.04,960,255.0,-10.5,01000000,49.26,928,0.0,65.2,        ,48.80,1.0,0.0,0.0,        
,49.74,928,255.0,-18.5,01000000,49.98,896,0.0,55.5,        ,49.50,1.0,0.0,0.0,        
,50.44,960,255.0,-11.0,01000000,50.68,928,0.0,64.6,        ,50.20,1.0,0.0,0.0,        
,51.15,928,255.0,-11.0,01000000,51.37,896,0.0,64.6,        ,50.91,1.0,0.0,0.0,        
,51.85,960,255.0,-18.5,01000000,52.09,960,0.0,55.5,        ,51.61,1.0,0.0,0.0,        
,52.54,928,255.0,-13.5,01000000,52.79,928,0.0,61.5,        ,52.31,1.0,0.0,0.0,        
,53.24,960,255.0,-18.5,01000000,53.47,960,0.0,55.5,        ,53.02,1.0,0.0,0.0,        
,53.94,928,255.0,-11.5,01000000,54.18,928,0.0,64.0,        ,53.70,1.0,0.0,0.0,        
,54.64,896,255.0,-18.5,01000000,54.88,960,0.0,55.5,        ,54.40,1.0,0.0,0.0,        
,55.34,928,255.0,-10.0,01000000,55.58,928,0.0,65.8,        ,55.11,1.0,0.0,0.0,        
,56.06,896,255.0,-18.5,01000000,56.28,960,0.0,55.5,        ,55.82,1.0,0.0,0.0,        
,56.74,928,255.0,-12.0,01000000,56.98,928,0.0,63.4,        ,56.50,1.0,0.0,0.0,        
,57.44,896,255.0,-18.5,01000000,57.68,960,0.0,55.5,        ,57.20,1.0,0.0,0.0,        
,58.13,928,255.0,-12.0,01000000,58.36,928,0.0,63.4,        ,57.91,1.0,0.0,0.0,        
,58.84,896,255.0,-18.5,01000000,59.06,960,0.0,55.5,        ,58.60,1.0,0.0,0.0,        
,59.52,928,255.0,-11.0,01000000,59.76,928,0.0,64.6,        ,59.28,1.0,0.0,0.0,        
,60.22,960,255.0,-18.5,01000000,60.46,960,0.0,55.5,        ,59.98,1.0,0.0,0.0,        
,60.92,928,255.0,-12.5,01000000,61.16,928,0.0,62.8,        ,60.70,1.0,0.0,0.0,        
,61.63,896,255.0,-18.5,01000000,61.86,960,0.0,55.5,        ,61.40,1.0,0.0,0.0,        
