Friday,28,November,2025,12:20:49:00009-VCID:9DA46055AA8F3D19E2-7F06,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
855 412 107 AD-7F06,,MARELLI 1AVP MPSF  DG23,

,Group A:,'001,,,,Group B:,'002,,,,Group C:,'003
,,RPM,Temperature,Voltage,Bin. Bits,,RPM,Time,Battery Volts,Temperature,,RPM,Load,T.B. Angle,(no units)
,44.19,896,34.0,0.69,00001001,44.43,960,2.29,13.7,61.0,43.95,896,18.9,0.0,39.0
,44.89,928,34.0,0.69,00001001,45.12,928,2.29,13.6,61.0,44.67,960,20.1,0.0,39.0
,45.60,896,34.0,0.69,00001001,45.84,896,2.29,13.4,61.0,45.36,896,18.9,0.0,39.0
,46.30,928,34.0,0.69,00001001,46.53,928,2.29,13.7,61.0,46.06,960,19.3,0.0,39.0
,47.01,896,34.0,0.69,00001001,47.24,896,2.29,13.6,61.0,46.77,928,20.5,0.0,39.0
,47.71,960,34.0,0.69,00001001,47.93,928,2.29,13.5,61.0,47.48,960,18.9,0.0,39.0
,48.39,896,34.0,0.70,00001001,48.63,960,2.29,13.6,61.0,48.15,928,18.9,0.0,39.0
,49.10,928,34.0,0.69,00001001,49.33,928,2.29,13.6,62.0,48.86,960,20.5,0.4,39.0
,49.79,896,34.0,0.70,00001001,50.01,960,2.29,13.6,62.0,49.57,928,20.1,0.0,37.0
,50.46,928,34.0,0.70,00001001,50.68,896,2.29,13.6,62.0,50.23,928,20.1,0.0,37.0
,51.14,928,34.0,0.70,00001001,51.38,928,2.29,13.6,62.0,50.91,960,20.1,0.0,37.0
,51.83,896,34.0,0.70,00001001,52.06,960,2.29,13.4,62.0,51.60,928,20.1,0.4,37.0
,52.54,928,34.0,0.70,00001001,52.78,928,2.29,13.6,62.0,52.30,960,20.1,0.4,37.0
,53.23,896,34.0,0.70,00001001,53.47,960,2.29,13.6,62.0,53.00,928,20.1,0.0,37.0
,53.94,928,34.0,0.70,00001001,54.18,928,2.29,13.7,62.0,53.70,960,20.1,0.4,37.0
,54.65,896,34.0,0.70,00001001,54.87,960,2.29,13.6,62.0,54.41,928,20.1,0.0,37.0
,55.31,928,34.0,0.70,00001001,55.55,928,2.29,13.6,62.0,55.09,928,18.9,0.0,37.0
,56.02,896,34.0,0.70,00001001,56.26,960,2.29,13.6,62.0,55.79,896,20.1,0.4,37.0
,56.72,928,34.0,0.70,00001001,56.95,928,2.29,13.4,62.0,56.48,928,20.1,0.0,37.0
,57.43,896,34.0,0.70,00001001,57.67,960,2.29,13.7,62.0,57.19,896,20.1,0.0,37.0
,58.13,928,34.0,0.70,00001001,58.36,928,2.29,13.6,62.0,57.89,928,20.1,0.0,37.0
,58.83,960,34.0,0.70,00001001,59.07,928,2.29,13.6,62.0,58.60,896,20.1,0.4,37.0
,59.53,928,34.0,0.70,00001001,59.77,928,2.29,13.6,62.0,59.30,928,20.1,0.4,37.0
,60.24,960,34.0,0.70,00001001,60.48,960,2.29,13.7,62.0,60.00,896,20.9,0.0,40.0
,60.93,928,34.0,0.70,00001001,61.16,896,2.29,13.6,62.0,60.70,928,20.1,0.0,37.0
,61.63,960,34.0,0.70,00001001,61.87,960,2.29,13.4,62.0,61.39,896,20.5,0.0,40.0
,62.31,928,34.0,0.70,00001001,62.56,896,2.29,13.5,63.0,62.09,928,20.1,0.0,37.0
,63.01,960,34.0,0.70,00001001,63.23,928,2.29,13.7,63.0,62.79,896,20.1,0.0,37.0
,63.71,928,34.0,0.70,00001001,63.94,896,2.29,13.6,63.0,63.47,928,20.1,0.0,37.0
,64.40,928,34.0,0.70,00001001,64.62,928,2.29,13.6,63.0,64.18,960,18.9,0.4,37.0
,65.08,896,34.0,0.70,00001001,65.32,960,2.81,13.6,63.0,64.84,896,19.3,0.0,40.0
,65.79,928,34.0,0.70,00001001,66.02,928,2.29,13.6,63.0,65.56,960,20.1,0.0,37.0
,66.49,896,34.0,0.70,00001001,66.73,896,2.29,13.6,63.0,66.25,928,20.1,0.0,37.0
,67.17,928,34.0,0.70,00001001,67.41,928,2.29,13.6,63.0,66.95,960,18.9,0.0,37.0
,67.88,896,34.0,0.70,00001001,68.11,960,2.29,13.4,63.0,67.65,928,20.1,0.0,37.0
,68.58,928,34.0,0.70,00001001,68.82,928,2.29,13.6,63.0,68.34,960,20.1,0.4,37.0
,69.31,928,34.0,0.70,00001001,69.54,896,2.29,13.6,63.0,69.06,928,18.5,0.0,37.0
,70.01,960,34.0,0.70,00001001,70.23,928,2.29,13.5,64.0,69.77,896,20.1,0.0,37.0
,70.67,896,34.0,0.70,00001001,70.89,960,2.29,13.5,64.0,70.45,928,20.1,0.0,37.0
,71.36,928,34.0,0.70,00001001,71.60,928,2.29,13.6,64.0,71.13,928,18.9,0.0,37.0
,72.07,896,34.0,0.70,00001001,72.31,960,2.29,13.6,64.0,71.83,896,18.9,0.0,37.0
,72.76,928,34.0,0.70,00001001,72.98,928,2.29,13.6,64.0,72.54,960,20.1,0.0,37.0
,73.42,928,34.0,0.70,00001001,73.66,928,2.29,13.5,64.0,73.20,896,18.5,0.4,37.0
,74.13,928,34.0,0.70,00001001,74.36,896,2.29,13.6,64.0,73.89,928,18.5,0.0,37.0
,74.83,960,34.0,0.70,00001001,75.07,928,2.29,13.6,64.0,74.60,896,18.9,0.4,37.0
,75.54,928,34.0,0.70,00001001,75.76,896,2.29,13.6,64.0,75.31,928,20.1,0.0,37.0
,76.20,928,34.0,0.70,00001001,76.44,928,2.29,13.6,64.0,75.98,960,20.1,0.0,36.0
,76.91,896,34.0,0.70,00001001,77.15,960,2.29,13.6,64.0,76.67,928,20.1,0.4,36.0
,77.62,960,34.0,0.70,00001001,77.85,928,2.29,13.5,64.0,77.38,960,20.5,0.4,39.0
,78.32,928,34.0,0.70,00001001,78.54,896,2.29,13.6,64.0,78.09,928,18.5,0.4,37.0
,78.98,928,34.0,0.70,00001001,79.22,928,2.29,13.7,64.0,78.76,928,18.9,0.0,37.0
,79.69,896,34.0,0.70,00001001,79.93,960,2.29,13.5,64.0,79.46,896,19.3,0.0,40.0
,80.40,928,34.0,0.70,00001001,80.62,928,2.29,13.5,64.0,80.16,960,20.1,0.0,37.0
,81.06,960,34.0,0.70,00001001,81.30,928,2.29,13.7,64.0,80.84,896,20.1,0.0,37.0
,81.77,928,34.0,0.70,00001001,82.01,928,2.29,13.6,64.0,81.53,928,20.1,0.0,37.0
,82.45,960,34.0,0.70,00001001,82.69,928,2.29,13.5,64.0,82.23,896,20.1,0.0,37.0
,83.16,928,34.0,0.70,00001001,83.39,896,2.29,13.7,64.0,82.93,928,20.1,0.0,37.0
,83.86,960,34.0,0.70,00001001,84.10,960,2.29,13.6,64.0,83.63,896,20.1,0.0,37.0
,84.56,928,34.0,0.70,00001001,84.80,928,2.29,13.6,64.0,84.32,928,20.1,0.4,37.0
,85.27,896,34.0,0.70,00001001,85.51,960,2.29,13.6,65.0,85.03,896,20.1,0.0,37.0
,85.95,928,34.0,0.70,00001001,86.17,896,2.29,13.6,65.0,85.73,928,20.1,0.0,37.0
,86.64,960,34.0,0.70,00001001,86.88,928,2.29,13.7,65.0,86.41,960,18.5,0.4,37.0
,87.32,896,34.0,0.70,00001001,87.55,960,2.29,13.6,65.0,87.10,928,18.5,0.0,37.0
,88.02,928,34.0,0.70,00001001,88.25,928,2.29,13.6,65.0,87.78,960,20.1,0.0,37.0
,88.72,896,34.0,0.70,00001001,88.95,896,2.29,13.6,65.0,88.49,928,18.5,0.4,37.0
,89.43,960,34.0,0.70,00001001,89.66,928,2.29,13.5,65.0,89.20,960,18.9,0.0,37.0
,90.12,896,34.0,0.70,00001001,90.36,896,2.29,13.6,65.0,89.89,928,18.5,0.0,37.0
,90.84,960,34.0,0.70,00001001,91.07,928,2.29,13.5,65.0,90.60,896,18.5,0.4,37.0
,91.53,928,34.0,0.70,00001001,91.74,896,2.29,13.5,66.0,91.31,928,20.1,0.0,37.0
,92.19,928,34.0,0.70,00001001,92.42,928,2.29,13.6,66.0,91.96,960,20.1,0.0,37.0
,92.90,896,34.0,0.70,00001001,93.12,960,2.29,13.6,66.0,92.66,928,20.1,0.4,37.0
,93.58,928,34.0,0.70,00001001,93.82,928,2.29,13.6,66.0,93.34,928,18.5,0.0,37.0
,94.29,896,34.0,0.70,00001001,94.53,896,2.29,13.5,66.0,94.05,928,20.1,0.0,37.0
,94.97,928,34.0,0.70,00001001,95.20,928,2.29,13.5,66.0,94.74,960,18.5,0.0,37.0
,95.68,896,34.0,0.70,00001001,95.91,896,2.29,13.5,66.0,95.44,896,18.5,0.4,37.0
,96.37,928,34.0,0.70,00001001,96.61,928,2.29,13.5,66.0,96.15,960,20.1,0.0,37.0
,97.08,896,34.0,0.70,00001001,97.32,896,2.29,13.6,66.0,96.84,928,20.1,0.0,37.0
,97.78,928,34.0,0.70,00001001,98.00,928,2.29,13.6,66.0,97.56,960,18.5,0.0,37.0
,98.47,896,34.0,0.70,00001001,98.71,896,2.29,13.5,66.0,98.24,928,20.1,0.4,37.0
,99.17,928,34.0,0.70,00001001,99.41,928,2.29,13.6,66.0,98.94,960,20.1,0.4,37.0
,99.88,928,34.0,0.70,00001001,100.10,896,2.29,13.6,66.0,99.65,928,18.5,0.0,37.0
,100.56,928,34.0,0.70,00001001,100.80,928,2.29,13.7,66.0,100.33,960,18.9,0.0,37.0
,101.28,896,34.0,0.70,00001001,101.50,896,2.29,13.6,66.0,101.04,928,20.1,0.4,37.0
,101.95,928,34.0,0.70,00001001,102.19,928,2.29,13.6,66.0,101.72,960,18.5,0.0,37.0
,102.66,896,34.0,0.70,00001001,102.90,896,2.29,13.6,66.0,102.42,928,20.1,0.0,37.0
,103.36,928,34.0,0.70,00001001,103.58,928,2.29,13.6,66.0,103.13,960,18.5,0.4,37.0
,104.06,896,34.0,0.71,00001001,104.28,960,2.29,13.6,66.0,103.81,928,18.9,0.4,37.0
,104.73,928,34.0,0.71,00001001,104.97,928,2.29,13.6,66.0,104.50,928,18.5,0.0,37.0
,105.43,896,34.0,0.71,00001001,105.65,960,2.29,13.5,66.0,105.21,928,20.1,0.4,37.0
,106.13,928,34.0,0.71,00001001,106.37,928,2.29,13.6,67.0,105.89,928,18.5,0.0,37.0
,106.84,896,34.0,0.71,00001001,107.06,960,2.29,13.5,67.0,106.60,928,18.5,0.0,36.0
,107.52,928,34.0,0.71,00001001,107.75,928,2.29,13.6,67.0,107.28,928,20.1,0.0,36.0
,108.21,896,34.0,0.71,00001001,108.44,960,2.29,13.6,67.0,107.99,928,18.5,0.0,36.0
,108.89,928,34.0,0.71,00001001,109.13,928,2.29,13.6,67.0,108.67,928,19.7,0.0,36.0
,109.59,960,34.0,0.71,00001001,109.81,928,2.29,13.6,67.0,109.37,896,18.5,0.0,36.0
,110.29,928,35.0,0.71,00001001,110.52,928,2.29,13.5,67.0,110.05,928,18.5,0.0,36.0
,110.96,960,35.0,0.71,00001001,111.20,928,2.29,13.6,67.0,110.74,896,18.5,0.0,36.0
,111.68,928,35.0,0.71,00001001,111.91,896,2.29,13.6,67.0,111.44,928,18.5,0.0,36.0
,112.37,960,35.0,0.71,00001001,112.59,928,2.29,13.6,67.0,112.15,896,20.1,0.0,36.0
,113.07,928,35.0,0.71,00001001,113.30,896,2.29,13.6,67.0,112.83,928,18.5,0.4,36.0
,113.76,960,35.0,0.71,00001001,113.99,928,2.29,13.6,67.0,113.54,896,20.1,0.4,36.0
,114.45,928,35.0,0.71,00001001,114.69,896,2.29,13.6,67.0,114.22,928,18.5,0.0,36.0
,115.15,960,35.0,0.71,00001001,115.37,928,2.29,13.6,67.0,114.93,896,20.1,0.0,36.0
,115.84,928,35.0,0.71,00001001,116.09,896,2.29,13.5,68.0,115.61,928,18.5,0.0,36.0
,116.54,960,35.0,0.71,00001001,116.76,928,2.29,13.7,68.0,116.32,896,19.7,0.0,36.0
,117.22,896,35.0,0.71,00001001,117.46,896,2.29,13.7,68.0,116.98,928,20.1,0.0,36.0
,117.92,928,35.0,0.71,00001001,118.16,960,2.29,13.6,68.0,117.70,960,18.5,0.0,36.0
,118.63,928,35.0,0.71,00001001,118.87,928,2.29,13.4,68.0,118.40,928,18.5,0.0,36.0
,119.32,960,35.0,0.71,00001001,119.56,960,2.29,13.6,68.0,119.09,896,18.5,0.0,36.0
,120.04,928,35.0,0.71,00001001,120.26,928,2.29,13.6,68.0,119.80,928,20.1,0.4,36.0
,120.74,896,35.0,0.71,00001001,120.97,960,2.29,13.7,68.0,120.50,896,20.1,0.0,36.0
,121.45,928,35.0,0.71,00001001,121.67,928,2.29,13.6,68.0,121.21,960,18.5,0.0,36.0
,122.14,896,35.0,0.71,00001001,122.38,960,2.29,13.5,68.0,121.91,896,18.5,0.4,36.0
,122.84,928,35.0,0.71,00001001,123.06,928,2.29,13.7,68.0,122.61,960,20.1,0.0,36.0
,123.53,896,35.0,0.71,00001001,123.77,896,2.29,13.5,68.0,123.30,928,18.5,0.0,36.0
,124.24,928,35.0,0.71,00001001,124.48,928,2.29,13.5,68.0,124.00,960,20.1,0.4,36.0
,124.92,896,35.0,0.71,00001001,125.16,960,2.29,13.5,68.0,124.70,928,20.1,0.0,36.0
,125.63,928,35.0,0.71,00001001,125.87,928,2.29,13.6,68.0,125.39,960,20.1,0.0,36.0
,126.34,928,35.0,0.71,00001001,126.57,896,2.29,13.6,68.0,126.10,928,20.1,0.4,36.0
,127.01,928,35.0,0.71,00001001,127.25,928,2.29,13.6,68.0,126.79,960,19.7,0.4,36.0
,127.72,896,35.0,0.71,00001001,127.95,896,2.29,13.6,68.0,127.49,928,20.1,0.4,36.0
,128.43,960,35.0,0.71,00001001,128.66,928,2.29,13.7,68.0,128.19,960,18.5,0.0,36.0
,129.11,896,35.0,0.71,00001001,129.34,960,2.29,13.6,68.0,128.88,928,18.5,0.0,36.0
,129.80,928,35.0,0.71,00001001,130.03,928,2.29,13.5,68.0,129.56,928,18.5,0.0,36.0
,130.50,896,35.0,0.71,00001001,130.73,896,2.29,13.7,68.0,130.27,928,19.7,0.0,36.0
,131.21,960,35.0,0.71,00001001,131.44,928,2.29,13.6,68.0,130.97,960,18.5,0.0,36.0
,131.91,928,35.0,0.71,00001001,132.15,896,2.29,13.5,69.0,131.67,928,18.5,0.4,36.0
,132.61,960,35.0,0.72,00001001,132.83,928,2.29,13.6,69.0,132.38,896,19.7,0.4,35.0
,133.30,928,35.0,0.72,00001001,133.54,896,2.29,13.6,69.0,133.06,928,20.1,0.4,36.0
,134.01,960,35.0,0.72,00001001,134.24,928,2.29,13.7,69.0,133.77,896,18.1,0.4,31.0
,134.70,928,35.0,0.72,00001001,134.92,896,2.29,13.6,69.0,134.48,928,18.5,0.4,36.0
,135.37,928,35.0,0.71,00001001,135.61,928,2.29,13.6,69.0,135.15,960,20.1,0.0,36.0
,136.08,896,35.0,0.72,00001001,136.32,896,2.29,13.6,69.0,135.84,928,19.3,0.0,31.0
,136.79,960,35.0,0.72,00001001,137.01,928,2.29,13.6,69.0,136.56,960,20.1,0.0,36.0
,137.47,896,35.0,0.72,00001001,137.70,960,2.29,13.6,69.0,137.23,896,18.1,0.0,31.0
,138.17,928,35.0,0.72,00001001,138.41,928,2.29,13.7,69.0,137.94,960,18.5,0.4,36.0
,138.88,896,35.0,0.72,00001001,139.12,896,2.29,13.6,69.0,138.64,928,19.3,0.4,31.0
,139.58,928,35.0,0.72,00001001,139.81,928,2.29,13.6,69.0,139.35,960,18.1,0.0,31.0
,140.26,896,35.0,0.72,00001001,140.50,960,2.29,13.6,69.0,140.04,928,19.3,0.0,31.0
,140.98,928,35.0,0.72,00001001,141.21,928,2.29,13.6,69.0,140.74,960,19.3,0.0,31.0
,141.67,896,35.0,0.72,00001001,141.89,960,2.29,13.6,69.0,141.45,928,19.3,0.0,31.0
,142.36,928,35.0,0.72,00001001,142.59,928,2.29,13.6,69.0,142.12,928,18.1,0.0,31.0
,143.07,896,35.0,0.73,00001001,143.30,960,2.29,13.6,69.0,142.83,896,17.7,0.4,30.0
,143.77,928,35.0,0.72,00001001,144.01,928,2.29,13.4,69.0,143.53,960,19.7,0.4,34.0
,144.47,896,35.0,0.72,00001001,144.70,960,2.29,13.6,69.0,144.23,896,17.7,0.0,30.0
,145.16,928,35.0,0.72,00001001,145.40,928,2.29,13.6,69.0,144.92,928,18.5,0.0,34.0
,145.86,896,35.0,0.72,00001001,146.10,960,2.29,13.5,69.0,145.63,896,18.5,0.0,34.0
,146.56,928,35.0,0.72,00001001,146.78,928,2.29,13.7,69.0,146.34,960,19.3,0.0,33.0
,147.25,896,35.0,0.73,00001001,147.48,960,2.29,13.5,69.0,147.01,896,17.7,0.4,30.0
,147.96,928,35.0,0.72,00001001,148.18,928,2.29,13.6,69.0,147.72,928,17.7,0.0,32.0
,148.62,960,35.0,0.72,00001001,148.86,928,2.29,13.6,69.0,148.40,896,19.7,0.0,34.0
,149.33,928,35.0,0.72,00001001,149.57,896,2.29,13.5,69.0,149.09,928,19.7,0.0,34.0
,150.04,960,35.0,0.72,00001001,150.27,960,2.29,13.5,69.0,149.80,896,19.7,0.4,34.0
,150.74,928,35.0,0.72,00001001,150.98,928,2.29,13.6,70.0,150.51,928,18.5,0.0,33.0
,151.43,960,35.0,0.72,00001001,151.65,928,2.29,13.6,70.0,151.20,896,19.7,0.4,33.0
,152.11,928,35.0,0.73,00001001,152.34,896,2.29,13.5,70.0,151.89,928,17.7,0.0,33.0
,152.81,960,35.0,0.72,00001001,153.05,928,2.29,13.7,70.0,152.58,960,18.5,0.0,33.0
,153.52,928,35.0,0.72,00001001,153.76,896,2.29,13.6,70.0,153.29,928,18.5,0.4,33.0
,154.21,960,35.0,0.72,00001001,154.44,928,2.29,13.6,70.0,153.99,896,19.7,0.0,33.0
,154.91,928,35.0,0.72,00001001,155.15,896,2.29,13.6,70.0,154.67,928,18.1,0.4,33.0
,155.60,960,35.0,0.72,00001001,155.82,928,2.29,13.6,70.0,155.38,896,18.5,0.0,33.0
,156.28,896,35.0,0.72,00001001,156.52,960,2.29,13.5,70.0,156.05,896,18.5,0.4,33.0
,156.97,928,35.0,0.72,00001001,157.20,928,2.29,13.7,70.0,156.75,928,18.5,0.0,33.0
,157.65,960,35.0,0.72,00001001,157.87,928,2.29,13.6,70.0,157.43,896,18.1,0.0,33.0
,158.34,928,35.0,0.72,00001001,158.56,896,2.29,13.6,70.0,158.09,928,19.7,0.0,33.0
,159.04,960,35.0,0.72,00001001,159.29,960,2.29,13.6,70.0,158.80,960,18.1,0.0,33.0
,159.75,928,35.0,0.72,00001001,159.99,928,2.29,13.6,71.0,159.51,928,19.7,0.0,33.0
,160.46,896,35.0,0.72,00001001,160.68,960,2.29,13.6,71.0,160.23,896,18.1,0.0,33.0
,161.14,928,35.0,0.72,00001001,161.38,928,2.29,13.4,71.0,160.91,928,19.7,0.0,33.0
,161.85,896,35.0,0.72,00001001,162.07,960,2.29,13.7,71.0,161.62,896,19.7,0.0,33.0
,162.53,928,35.0,0.72,00001001,162.77,896,2.29,13.6,71.0,162.30,928,18.5,0.0,33.0
,163.24,960,35.0,0.72,00001001,163.46,928,2.29,13.6,71.0,163.01,896,19.7,0.0,33.0
,163.91,896,35.0,0.72,00001001,164.15,896,2.29,13.6,71.0,163.68,928,18.5,0.4,33.0
,164.59,928,35.0,0.72,00001001,164.82,928,2.29,13.6,71.0,164.37,960,19.7,0.0,33.0
,165.29,896,35.0,0.73,00001001,165.51,960,2.04,13.6,71.0,165.05,896,17.7,0.4,28.0
,165.97,928,35.0,0.73,00001001,166.21,928,2.29,13.6,71.0,165.73,928,19.3,0.0,33.0
,166.68,896,35.0,0.72,00001001,166.90,960,2.29,13.5,71.0,166.44,896,18.5,0.0,33.0
,167.38,928,35.0,0.73,00001001,167.62,928,2.04,13.5,71.0,167.14,928,18.9,0.0,28.0
,168.07,960,35.0,0.73,00001001,168.31,960,2.29,13.7,71.0,167.85,896,18.1,0.4,33.0
,168.77,928,35.0,0.73,00001001,169.00,928,2.29,13.6,71.0,168.53,928,19.7,0.0,33.0
,169.47,960,35.0,0.73,00001001,169.70,960,2.29,13.5,71.0,169.24,896,18.1,0.0,33.0
,170.18,928,35.0,0.73,00001001,170.40,928,2.29,13.5,72.0,169.94,928,17.7,0.0,28.0
